Amazon Turk ID,ProcessDataID,Experiment,Condition,Gender,Age,3. American Indian or Alaskan Native [Question: Which of the following best describes you? Select all that apply.],3. Asian or Asian American [Question: Which of the following best describes you? Select all that apply.],3. Black or African American [Question: Which of the following best describes you? Select all that apply.],3. Hispanic/Latino [Question: Which of the following best describes you? Select all that apply.],3. Native Hawaiian or Other Pacific Islander [Question: Which of the following best describes you? Select all that apply.],3. White [Question: Which of the following best describes you? Select all that apply.],4. Educational attainment,5. Undergraduate major field,5. Other (please specify): Specify [Question: Undergraduate major field],"6. Science (e.g., physics, chemistry, biology, geology) [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.]","6. Engineering (e.g., chemical, civil, electrical, mechanical) [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.]","6. Computer science (e.g., programming, interface design, data management) [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.]","6. Mathematics (e.g., calculus, statistics) [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.]",6. Education [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.],6. None of the above [Question: In which of the following fields of study have you taken postsecondary courses? Select all that apply.],7. What is your first language?
A1VNJOS2LHSOZL,A1VNJOS2LHSOZ,1,5,Male,35,-,-,-,-,-,White,Bachelor’s degree,Mathematics,,-,-,-,"Mathematics (e.g., calculus, statistics)",-,-,english
A1VVR9MA1P9HWJ,A1VVR9MA1P9HW,1,4,Female,40,-,-,-,-,-,White,Master’s degree,Other (please specify):,Business,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,english
A1VW8Y7XCV3DRW,A1VW8Y7XCV3DR,1,2,Female,39,-,-,-,-,-,White,"Associate’s degree, occupational",No undergraduate major,,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1W4Q0E00VP6VD,A1W4Q0E00VP6V,1,1,Male,27,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,-,-,-,None of the above,English
A1WGAGT5ZN4A3X,A1WGAGT5ZN4A3,1,4,Female,40,-,-,Black or African American,-,-,-,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1WISFBL3J5Z12,A1WISFBL3J5Z1,1,1,Female,35,-,-,Black or African American,-,-,-,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)","Engineering (e.g., chemical, civil, electrical, mechanical)","Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1WP5L2VDSBKM5,A1WP5L2VDSBKM,1,3,Female,37,-,-,-,Hispanic/Latino,-,-,Bachelor’s degree,Other (please specify):,accounting,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,english
A1WR3WTEHJEY2D,A1WR3WTEHJEY2,1,4,Female,39,-,-,-,-,-,White,"Associate’s degree, occupational",No undergraduate major,,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1XBY84H8A6VFK,A1XBY84H8A6VF,1,1,Male,31,-,-,-,-,-,White,"Associate’s degree, academic","Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1XUZFDVKP95VC,A1XUZFDVKP95V,1,5,Male,39,-,-,Black or African American,Hispanic/Latino,-,-,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,english
A1Y55YV1WA1TTD,A1Y55YV1WA1TT,1,5,Male,38,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)","Engineering (e.g., chemical, civil, electrical, mechanical)","Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,english
A1Y82LKWQQP90M,A1Y82LKWQQP90,1,1,Female,31,-,-,-,-,-,White,"Associate’s degree, academic",No undergraduate major,,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A1YCGICA8XCNBH,A1YCGICA8XCNB,1,2,Female,33,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A1YCJFUS1DFN9S,A1YCJFUS1DFN9,1,4,Female,23,-,-,-,-,-,White,"Associate’s degree, academic","Humanities (e.g., literature, language, fine arts, law)",,-,-,-,-,-,None of the above,English
A1YSYI926BBOHW,A1YSYI926BBOH,1,1,Male,34,-,Asian or Asian American,-,-,Native Hawaiian or Other Pacific Islander,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)","Engineering (e.g., chemical, civil, electrical, mechanical)","Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1YTNGH5SMM2CJ,A1YTNGH5SMM2C,1,5,Male,28,-,-,-,Hispanic/Latino,-,-,Master’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1Z1O6MMOB3UWW,A1Z1O6MMOB3UW,1,3,Male,37,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1Z3NTRGIUZ240,A1Z3NTRGIUZ24,1,5,Male,31,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A1ZB2NY0F9QNP0,A1ZB2NY0F9QNP,1,5,Female,24,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,-,-,-,English
A1ZD8RU6YB0VEU,A1ZD8RU6YB0VE,1,2,Male,24,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A1ZQ7A1CUV6RD8,A1ZQ7A1CUV6RD,1,5,Female,34,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",Education,-,English
A1ZT30BGR3266K,A1ZT30BGR3266,1,2,Female,33,-,-,-,-,-,White,"Associate’s degree, occupational",Mathematics,,-,-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A1ZZ7YO3YASNIP,A1ZZ7YO3YASNI,1,5,Female,26,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A201KLVDE84CJP,A201KLVDE84CJ,1,3,Male,30,-,-,-,-,-,White,Master’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A209V2VHLLQ59W,A209V2VHLLQ59,1,2,Other (please specify):,29,-,-,-,-,-,-,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,-,-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,American English
A20YTODXQF2HAH,A20YTODXQF2HA,1,3,Female,33,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A21125TJ2DFHYD,A21125TJ2DFHY,1,1,Male,30,-,-,-,-,-,White,Master’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A217M5CHYXKABY,A217M5CHYXKAB,1,1,Female,27,-,-,-,-,-,White,Master’s degree,"Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,-,-,-,Spanish
A21EZISIJ3JPSW,A21EZISIJ3JPS,1,5,Male,39,-,-,-,-,-,White,Master’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,Education,-,English
A21H2UDDHN8ZF,A21H2UDDHN8ZF,1,1,Female,34,-,-,Black or African American,-,-,-,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,-,-,-,-,-,None of the above,English
A21XNU0C2NYP0M,A21XNU0C2NYP0,1,5,Male,31,-,Asian or Asian American,-,-,-,-,Bachelor’s degree,Other (please specify):,Art and Design,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A21ZMR7O42OSMI,A21ZMR7O42OSM,1,3,Female,37,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A223BBAD3U6QFR,A223BBAD3U6QF,1,4,Female,36,-,-,-,-,-,White,Bachelor’s degree,Other (please specify):,Education,-,-,-,-,Education,-,English
A22IIMLQ7K4B3M,A22IIMLQ7K4B3,1,1,Female,27,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A22ON3MIIG0IJA,A22ON3MIIG0IJ,1,5,Male,38,-,-,-,-,-,White,"Associate’s degree, occupational","Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)","Engineering (e.g., chemical, civil, electrical, mechanical)","Computer science (e.g., programming, interface design, data management)",-,-,-,English
A23PQPECIUVKHC,A23PQPECIUVKH,1,1,Male,29,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A23WCDJKAT0RN5,A23WCDJKAT0RN,1,1,Female,34,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A24F42H3K58D8A,A24F42H3K58D8,1,4,Female,39,-,-,-,Hispanic/Latino,-,White,"Associate’s degree, academic",No undergraduate major,,-,-,-,-,-,None of the above,English
A24L4Y8HCZSUIF,A24L4Y8HCZSUI,1,4,Female,27,-,-,-,-,-,White,Master’s degree,"Humanities (e.g., literature, language, fine arts, law)",,-,-,-,-,Education,-,English
A24LUXW1DB1QI5,A24LUXW1DB1QI,1,3,Female,39,-,-,-,-,-,White,Master’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,-,None of the above,English
A24UH2N4C1UXDJ,A24UH2N4C1UXD,1,1,Female,31,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A250FES5PFCGK9,A250FES5PFCGK,1,5,Male,36,-,-,-,-,-,White,Master’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A2541C8MY0BYV3,A2541C8MY0BYV,1,5,Male,29,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,"Engineering (e.g., chemical, civil, electrical, mechanical)","Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A2581F7TDPAMBQ,A2581F7TDPAMB,1,3,Female,37,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A258MR1IS96JEP,A258MR1IS96JE,1,3,Male,34,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A25XXQPMBBDAV3,A25XXQPMBBDAV,1,3,Male,25,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A26A4HEBGP2MOX,A26A4HEBGP2MO,1,3,Male,39,-,-,-,-,-,White,"Associate’s degree, occupational","Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A26Y58YECZUZZG,A26Y58YECZUZZ,1,5,Male,25,-,-,-,-,-,White,"Associate’s degree, academic","Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,-,None of the above,English
A26YLUNHR2RZ6N,A26YLUNHR2RZ6,1,3,Female,37,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)","Engineering (e.g., chemical, civil, electrical, mechanical)","Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A271V19C06841K,A271V19C06841,1,2,Male,32,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,"Engineering (e.g., chemical, civil, electrical, mechanical)",-,-,-,-,English
A272X64FOZFYLB,A272X64FOZFYL,1,5,Male,24,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A273DS7TQWR9M1,A273DS7TQWR9M,1,5,Male,30,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A27BPRHBM28XZS,A27BPRHBM28XZ,1,2,Male,31,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,-,-,-,English
A27MJOV91GA8R3,A27MJOV91GA8R,1,5,Male,32,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A27PVIL93ZMY46,A27PVIL93ZMY4,1,3,Female,38,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A27SMEOPKV84VI,A27SMEOPKV84V,1,4,Female,36,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,english
A280TORYM293P6,A280TORYM293P,1,3,Female,36,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A282COQALUERS7,A282COQALUERS,1,4,Female,37,-,-,Black or African American,-,-,-,"Associate’s degree, academic",Other (please specify):,healthcare,-,-,-,-,-,None of the above,english
A289DF24X3Q8JZ,A289DF24X3Q8J,1,4,Female,27,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,Education,-,English
A28JBDTFGFJ5NR,A28JBDTFGFJ5N,1,1,Female,31,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A28Q5S6WK94WUN,A28Q5S6WK94WU,1,4,Male,33,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A29A2MQMPJW1O9,A29A2MQMPJW1O,1,3,Female,40,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,english
A29TJCWFK5BW3P,A29TJCWFK5BW3,1,5,Female,28,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,"Engineering (e.g., chemical, civil, electrical, mechanical)",-,-,-,-,english
A29VL3MZE7YPBZ,A29VL3MZE7YPB,1,5,Female,37,-,-,-,-,-,White,"Associate’s degree, occupational","Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A29WHPBW1R07CT,A29WHPBW1R07C,1,2,Female,30,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,Education,-,English
A2A028LRDJB7ZB,A2A028LRDJB7Z,1,2,Female,29,-,Asian or Asian American,-,-,-,-,Master’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)",-,-,-,English
A2A53C2WMV8L9,A2A53C2WMV8L9,1,1,Female,48,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,-,English
A2A9FPR7W6BU3E,A2A9FPR7W6BU3,1,2,Female,30,-,-,-,Hispanic/Latino,-,White,"Associate’s degree, occupational","Science or related fields (e.g., physical science, technology, engineering)",,-,-,-,-,-,None of the above,English
A2AAY4VT9L71SY,A2AAY4VT9L71S,1,1,Male,32,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A2AG45K4ULNBHF,A2AG45K4ULNBH,1,2,Female,39,-,-,Black or African American,-,-,-,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A2APPZDU0VS9LN,A2APPZDU0VS9L,1,3,Female,38,-,-,-,-,-,White,Bachelor’s degree,Other (please specify):,,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A2AT5B7RW4VXBX,A2AT5B7RW4VXB,1,2,Female,36,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,-,-,-,-,Education,-,english
A2ATUQ491PEC7L,A2ATUQ491PEC7,1,2,Male,40,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,-,-,-,English
A2AU2AM72MK5J6,A2AU2AM72MK5J,1,3,Male,34,-,Asian or Asian American,-,-,-,-,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,-,None of the above,English
A2AWBDW9V1E9KT,A2AWBDW9V1E9K,1,4,Male,36,-,-,-,-,-,White,"Associate’s degree, academic",Mathematics,,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A2B1YSMEHN1G2K,A2B1YSMEHN1G2,1,1,Female,25,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A2BDESUF4P4BO1,A2BDESUF4P4BO,1,4,Female,40,-,-,-,-,-,White,Bachelor’s degree,Other (please specify):,Business,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A2BKE5S8CT2I9A,A2BKE5S8CT2I9,1,3,Male,36,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,-,-,-,-,-,None of the above,English
A2BRZKFG6WAVER,A2BRZKFG6WAVE,1,5,Female,36,-,-,-,-,-,White,"Associate’s degree, occupational","Science or related fields (e.g., physical science, technology, engineering)",,-,-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A2C7TMRC2QHTIW,A2C7TMRC2QHTI,1,4,Male,32,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,english
A2C84POENS2UNY,A2C84POENS2UN,1,2,Female,37,-,-,-,-,-,White,Master’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",Education,-,English
A2CCK1JKX48R0H,A2CCK1JKX48R0,1,3,Male,35,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A2CISHIOILFDHN,A2CISHIOILFDH,1,3,Female,32,-,-,-,Hispanic/Latino,-,-,Master’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,-,-,-,English
A2CJYS92WX7HN6,A2CJYS92WX7HN,1,2,Female,27,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A2COAUZ1TISD2Q,A2COAUZ1TISD2,1,2,Male,28,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,english
A2CY1G4VJV3G85,A2CY1G4VJV3G8,1,4,Male,35,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,english
A2ECXGDFC0NJEL,A2ECXGDFC0NJE,1,4,Female,36,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A2EFO6X8SCDLFL,A2EFO6X8SCDLF,1,5,Female,34,-,-,-,-,-,White,Master’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,"Engineering (e.g., chemical, civil, electrical, mechanical)",-,-,-,-,English
A2EJLS2NDBTQHX,A2EJLS2NDBTQH,1,5,Male,22,-,-,Black or African American,-,-,-,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,-,None of the above,english
A2EKR2ZFO10VMV,A2EKR2ZFO10VM,1,5,Female,27,-,-,-,-,-,White,"Associate’s degree, academic","Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A2EZNZ6X58RTNR,A2EZNZ6X58RTN,1,5,Male,36,-,-,-,-,-,White,Master’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A2F2DDH12YU4AK,A2F2DDH12YU4A,1,3,Male,35,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)","Engineering (e.g., chemical, civil, electrical, mechanical)","Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A2F3KIEW6AOOPA,A2F3KIEW6AOOP,1,5,Female,31,-,-,-,-,-,White,"Associate’s degree, academic",No undergraduate major,,-,-,-,-,-,None of the above,English
A2FJUGTKTCIB0,A2FJUGTKTCIB0,1,3,Female,38,-,-,-,-,-,White,"Associate’s degree, academic","Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",Education,-,English
A2FXD55FJV1RSV,A2FXD55FJV1RS,1,1,Male,30,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A2FYQIZWV2UJHS,A2FYQIZWV2UJH,1,2,Female,34,-,-,-,-,-,White,"Associate’s degree, occupational","Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,-,None of the above,English
A2G7DTL156PTKA,A2G7DTL156PTK,1,2,Female,34,-,Asian or Asian American,-,-,-,-,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,-,None of the above,English
A2GPPUNLCCQX83,A2GPPUNLCCQX8,1,3,Female,35,-,-,-,-,-,White,Master’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,Education,-,English
A2GZDIIKSTJ6OD,A2GZDIIKSTJ6O,1,5,Male,36,-,-,-,-,-,White,Bachelor’s degree,Other (please specify):,Business Communications,"Science (e.g., physics, chemistry, biology, geology)","Engineering (e.g., chemical, civil, electrical, mechanical)","Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",Education,-,English
A2HA52MJN7CTLM,A2HA52MJN7CTL,1,4,Female,37,-,-,-,-,-,White,"Associate’s degree, academic","Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,-,-,-,English
A2HSCKH5NKN5LP,A2HSCKH5NKN5L,1,4,Male,32,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A2JP9IKRHNLRPI,A2JP9IKRHNLRP,1,5,Male,23,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,-,-,-,-,-,None of the above,English
A2L2ZXRHK3SNOP,A2L2ZXRHK3SNO,1,4,Female,40,-,-,-,-,-,White,Master’s degree,Other (please specify):,Interdisciplinary Studies,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",Education,-,English
A2L6B398BKTRZQ,A2L6B398BKTRZ,1,3,Female,27,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",Education,-,english
A2LF8ZOHLKAV41,A2LF8ZOHLKAV4,1,4,Female,31,-,-,-,-,-,White,Bachelor’s degree,"Social sciences (e.g., political science, economics, sociology, psychology)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",Education,-,English
A2LO0E22RWJATQ,A2LO0E22RWJAT,1,4,Female,40,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
A2LVCS009DMEAT,A2LVCS009DMEA,1,3,Female,38,-,-,-,-,-,White,Bachelor’s degree,"Humanities (e.g., literature, language, fine arts, law)",,"Science (e.g., physics, chemistry, biology, geology)",-,-,"Mathematics (e.g., calculus, statistics)",-,-,English
A2MCI9K0K5VX50,A2MCI9K0K5VX5,1,2,Male,31,-,-,-,-,-,White,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,-,-,-,-,-,None of the above,English
A2MD4K1YFYBLZN,A2MD4K1YFYBLZ,1,3,Female,25,-,-,Black or African American,-,-,-,Bachelor’s degree,"Science or related fields (e.g., physical science, technology, engineering)",,"Science (e.g., physics, chemistry, biology, geology)",-,"Computer science (e.g., programming, interface design, data management)","Mathematics (e.g., calculus, statistics)",-,-,English
A2MDFKOD2G3R4D,A2MDFKOD2G3R4,1,5,Female,38,-,-,-,-,-,White,High school graduate or equivalent,No undergraduate major,,-,-,-,-,-,None of the above,English
